Institute,Audience,Operations Lead,Hero Image,Hero Image Alt,Hub Image,Hub Image Alt,Preparation,Key Dates,Agenda Days,Experience,FAQs,Hero Eyebrow,Hero Intro,Hero CTA Label,Hero CTA URL,Welcome Eyebrow,Welcome Title,Welcome Intro,Welcome Body,Preparation Eyebrow,Preparation Title,Preparation Intro,Key Dates Eyebrow,Key Dates Title,Key Dates Intro,Agenda Eyebrow,Agenda Title,Agenda Intro,Agenda CTA Label,Hub Eyebrow,Hub Title,Hub Body,Hub URL,Hub CTA Label,Hotel Eyebrow,Hotel Title,Experience Eyebrow,Experience Title,Experience Intro,Support Eyebrow,Support Title,Support Body,Support URL,Support CTA Label,Contact Eyebrow,Contact Title,Contact Intro,KBYG Reservation Details,Name,Slug
healthcare-gci-oct-2026,delegate,,,,,,,,,,,2026-10-04 – 2026-10-06,Placeholder — This Delegate guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Delegate guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Delegate welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Delegate preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Delegate deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Attendee Hub.,<p>Placeholder — Delegate MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN ATTENDEE HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Delegate experience details are awaiting Operations confirmation.,,,,,,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Delegate reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",15. HGC Oct 2026 Delegate,healthcare-gci-oct-2026-delegate
healthcare-gci-oct-2026,sponsor,,,,,,,,,,,2026-10-04 – 2026-10-06,Placeholder — This Sponsor guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Sponsor guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Sponsor welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Sponsor preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Sponsor deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Sponsor Hub.,<p>Placeholder — Sponsor MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN SPONSOR HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Sponsor experience details are awaiting Operations confirmation.,SPONSOR SUPPORT,Sponsor Support.,<p>Placeholder — Sponsor support instructions and destination are awaiting Operations confirmation.</p>,,SPONSOR SUPPORT,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Sponsor reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",15. HGC Oct 2026 Sponsor,healthcare-gci-oct-2026-sponsor
hrmi-oct-2026,delegate,,,,,,,,,,,2026-10-18 – 2026-10-20,Placeholder — This Delegate guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Delegate guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Delegate welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Delegate preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Delegate deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Attendee Hub.,<p>Placeholder — Delegate MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN ATTENDEE HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Delegate experience details are awaiting Operations confirmation.,,,,,,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Delegate reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",17. HR Oct 2026 Delegate,hrmi-oct-2026-delegate
hrmi-oct-2026,sponsor,,,,,,,,,,,2026-10-18 – 2026-10-20,Placeholder — This Sponsor guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Sponsor guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Sponsor welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Sponsor preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Sponsor deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Sponsor Hub.,<p>Placeholder — Sponsor MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN SPONSOR HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Sponsor experience details are awaiting Operations confirmation.,SPONSOR SUPPORT,Sponsor Support.,<p>Placeholder — Sponsor support instructions and destination are awaiting Operations confirmation.</p>,,SPONSOR SUPPORT,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Sponsor reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",17. HR Oct 2026 Sponsor,hrmi-oct-2026-sponsor
iplmi-2026,delegate,,,,,,,,,,,2026-10-18 – 2026-10-20,Placeholder — This Delegate guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Delegate guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Delegate welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Delegate preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Delegate deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Attendee Hub.,<p>Placeholder — Delegate MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN ATTENDEE HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Delegate experience details are awaiting Operations confirmation.,,,,,,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Delegate reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",16. IP Law 2026 Delegate,iplmi-2026-delegate
iplmi-2026,sponsor,,,,,,,,,,,2026-10-18 – 2026-10-20,Placeholder — This Sponsor guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Sponsor guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Sponsor welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Sponsor preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Sponsor deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Sponsor Hub.,<p>Placeholder — Sponsor MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN SPONSOR HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Sponsor experience details are awaiting Operations confirmation.,SPONSOR SUPPORT,Sponsor Support.,<p>Placeholder — Sponsor support instructions and destination are awaiting Operations confirmation.</p>,,SPONSOR SUPPORT,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Sponsor reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",16. IP Law 2026 Sponsor,iplmi-2026-sponsor
cni-2026,delegate,,,,,,,,,,,2026-11-08 – 2026-11-10,Placeholder — This Delegate guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Delegate guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Delegate welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Delegate preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Delegate deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Attendee Hub.,<p>Placeholder — Delegate MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN ATTENDEE HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Delegate experience details are awaiting Operations confirmation.,,,,,,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Delegate reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",18. CNI 2026 Delegate,cni-2026-delegate
cni-2026,sponsor,,,,,,,,,,,2026-11-08 – 2026-11-10,Placeholder — This Sponsor guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Sponsor guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Sponsor welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Sponsor preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Sponsor deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Sponsor Hub.,<p>Placeholder — Sponsor MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN SPONSOR HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Sponsor experience details are awaiting Operations confirmation.,SPONSOR SUPPORT,Sponsor Support.,<p>Placeholder — Sponsor support instructions and destination are awaiting Operations confirmation.</p>,,SPONSOR SUPPORT,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Sponsor reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",18. CNI 2026 Sponsor,cni-2026-sponsor
cwi-2026,delegate,,,,,,,,,,,2026-11-08 – 2026-11-10,Placeholder — This Delegate guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Delegate guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Delegate welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Delegate preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Delegate deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Attendee Hub.,<p>Placeholder — Delegate MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN ATTENDEE HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Delegate experience details are awaiting Operations confirmation.,,,,,,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Delegate reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",20. CWI 2026 Delegate,cwi-2026-delegate
cwi-2026,sponsor,,,,,,,,,,,2026-11-08 – 2026-11-10,Placeholder — This Sponsor guide is awaiting Operations confirmation.,VIEW INSTITUTE GUIDE,#welcome,WELCOME,Your Sponsor guide.,<p>Placeholder — Event arrangements and instructions are awaiting Operations confirmation.</p>,<p>Placeholder — Sponsor welcome information is awaiting Operations confirmation.</p>,BEFORE YOU ARRIVE,Preparing for your Institute.,Placeholder — Sponsor preparation instructions are awaiting Operations confirmation.,MARK YOUR CALENDAR,Key Dates & Deliverables.,Placeholder — Sponsor deadlines are awaiting Operations confirmation.,EVENT PROGRAM,Institute Agenda,Placeholder — The event agenda is awaiting Operations confirmation.,VIEW FULL INSTITUTE AGENDA,EVENT ACCESS,Sponsor Hub.,<p>Placeholder — Sponsor MeetMax access and login instructions are awaiting Operations confirmation.</p>,,OPEN SPONSOR HUB,HOTEL & TRAVEL,Hotel & Travel.,YOUR EXPERIENCE,Your Institute Experience.,Placeholder — Sponsor experience details are awaiting Operations confirmation.,SPONSOR SUPPORT,Sponsor Support.,<p>Placeholder — Sponsor support instructions and destination are awaiting Operations confirmation.</p>,,SPONSOR SUPPORT,OPERATIONS CONTACT,Questions Before You Go?,Placeholder — The Operations contact is awaiting confirmation.,"<p>Placeholder — Sponsor reservation instructions, eligibility, rates and deadlines are awaiting Operations confirmation.</p>",20. CWI 2026 Sponsor,cwi-2026-sponsor
